,Площадь поля,lat,lon,Регион,crop,Культура 2019,Дата сева,Дата уборки,WOFOST_PP,WOFOST_FLD,Ks (cm/h),Field Capacity,Площадь_поля,Урожайность_факт_ц,yield,MONICA,DSSAT,Ensemble_stacking,Ensemble_ols,Ensemble_mean,Ensemble_weighted
40,91.22,52.9852663683298,36.952546403527,Орловская область,Озимая пшеница,Гречиха,2019-09-05,2020-08-17,4343.215658202268,4343.215658202268,8.49816576013588,0.3268917519281797,91.22,68.96,6895.999999999999,8864.2,7316.0,5929.364305156184,6430.5305045761725,6216.657829101135,6746.1662632809075
41,42.31,53.0219044677662,37.1197203726445,Орловская область,Озимая пшеница,Подсолнечник,2019-09-01,2020-08-17,4343.215658202268,4343.215658202268,74.4161756789258,0.4068148694455632,42.31,62.1,6210.0,8872.8,4808.0,5929.5147624530855,6438.91487912525,5591.807829101134,6248.006263280908
42,91.41,53.0448387599651,37.1123800544223,Орловская область,Озимая пшеница,Гречиха,2019-09-02,2020-08-21,4343.215658202268,4343.215658202268,39.789328967884,0.3760333954247562,91.41,55.28,5528.0,8872.7,7122.0,5929.440711278543,6434.788307692999,6170.282829101135,6710.766263280908
43,17.56,53.0715549709673,37.0933938986008,Орловская область,Озимая пшеница,Гречиха,2019-09-03,2020-08-18,4343.215658202268,4343.215658202268,12.25660970071526,0.3422597276944691,17.56,89.59,8959.0,8866.7,7211.0,5929.388294601627,6431.86733901335,6191.032829101135,6726.1662632809075
44,20.0,53.0210372535407,37.1519157000774,Орловская область,Озимая пшеница,Пар,2019-09-04,2020-08-20,4343.215658202268,4343.215658202268,8.762887180806004,0.329549435363683,20.0,62.4,6240.0,8877.2,0.0,5929.703280989362,6449.420252079124,4390.907829101135,5288.1662632809075
45,50.32,52.9041438425434,37.1566474738101,Орловская область,Озимая пшеница,Гречиха,2019-09-11,2020-08-21,4343.215658202268,4343.215658202268,7.141792134050899,0.3222868974866716,50.32,76.88,7688.0,8950.1,8513.0,5930.036538816477,6467.991358309851,6537.382829101134,7019.926263280908
46,50.0,52.9150330848847,37.1348189632258,Орловская область,Озимая пшеница,Озимая пшеница,2020-05-12,2020-09-09,4343.215658202268,4343.215658202268,59.79474197192113,0.3900256335286442,50.0,27.45,2745.0,0.0,0.0,5856.317909947541,2359.9513468896803,2171.607829101134,1737.2862632809074
47,86.0,53.0564231245914,37.2689737407314,Орловская область,Озимая пшеница,Пар,2019-09-01,2020-07-27,4390.114082619251,4390.114082619251,29.77661980885588,0.3790693003654532,86.0,61.42,6142.0,7469.5,6806.0,5918.22816771792,5809.958759401695,5763.932041309625,6105.045633047701
48,83.0,53.0509977987448,37.2981436433078,Орловская область,Озимая пшеница,Пар,2019-08-31,2020-07-28,4390.114082619251,4390.114082619251,15.6710502977128,0.3560047032284882,83.0,55.77,5577.0,7596.9,5844.0,5919.3117901279975,5870.344638604434,5555.282041309625,5963.605633047701
49,174.06,52.9076971474933,36.999191582298,Орловская область,Озимая пшеница,Озимая пшеница,2020-05-18,2020-09-08,4343.215658202268,4343.215658202268,9.101719424551318,0.3317968083735484,174.06,19.93,1993.0,0.0,0.0,5856.317909947541,2359.9513468896803,2171.607829101134,1737.2862632809074
50,123.26,52.9388049797814,36.9772897933086,Орловская область,Озимая пшеница,Гречиха,2019-09-10,2020-08-15,4343.215658202268,4343.215658202268,7.201870968499028,0.3214390362499148,123.26,47.58,4758.0,8953.7,0.0,5930.335685450757,6484.6615861987775,4410.032829101135,5318.766263280908
51,50.34,52.9496937769795,36.9723384053371,Орловская область,Озимая пшеница,Гречиха,2019-09-09,2020-08-12,4343.215658202268,4343.215658202268,59.95625995341382,0.3982180664411556,50.34,72.14,7214.0,8956.9,0.0,5930.3621389707105,6486.135733508358,4410.832829101134,5320.0462632809085
52,13.38,52.9714871123093,36.9662350334262,Орловская область,Озимая пшеница,Гречиха,2019-09-07,2020-08-10,4343.215658202268,4343.215658202268,30.67922713492224,0.3711119690164819,13.38,70.85,7084.999999999999,8856.8,0.0,5929.534639799656,6440.022562980549,4385.807829101134,5280.006263280908
53,29.25,52.9588841634181,37.0005524665694,Орловская область,Озимая пшеница,Гречиха,2019-09-06,2020-08-09,4343.215658202268,4343.215658202268,16.23337848145261,0.3509710081485451,29.25,63.87,6387.0,8863.2,7391.0,5929.353665121927,6429.937578647952,6235.157829101135,6760.766263280908
54,38.5,52.9897341169757,37.0630938586873,Орловская область,Озимая пшеница,Гречиха,2019-09-01,2020-07-20,4343.215658202268,4343.215658202268,12.29907185248545,0.3446720750972012,38.5,50.34,5034.0,6171.0,4808.0,5907.179724887097,5194.273878805236,4916.3578291011345,5167.286263280908
55,11.38,52.993515454798,37.0696799855673,Орловская область,Озимая пшеница,Гречиха,2019-09-01,2020-07-20,4343.215658202268,4343.215658202268,8.935324590153265,0.3282787756598622,11.38,62.0,6200.0,6171.1,4808.0,5907.180551559596,5194.319945908661,4916.382829101134,5167.326263280907
56,35.43,53.0054630072829,37.0761957735863,Орловская область,Озимая пшеница,Озимая пшеница,2019-09-02,2020-08-01,4343.215658202268,4343.215658202268,7.199662921837117,0.3229548550111622,35.43,56.46,5646.0,8159.5,7122.0,5923.544883018841,6106.23772607029,5991.9828291011345,6425.486263280909
57,52.23,53.0163567890943,37.0362088726509,Орловская область,Озимая пшеница,Гречиха,2019-09-04,2020-07-31,4343.215658202268,4343.215658202268,54.38937162787149,0.3817997911732066,52.23,52.5,5250.0,8029.2,8942.0,5922.410136448243,6043.002904881148,6414.407829101135,6737.366263280908
58,266.94,53.1251522893628,36.9609768618617,Орловская область,Озимая пшеница,Пар,2019-08-23,2020-09-03,4343.215658202268,4343.215658202268,7.14396232852193,0.3165159480310248,266.94,58.12,5812.0,8907.8,1.0,5929.956211129796,6463.515022328398,4398.807829101134,5300.606263280908
59,16.02,53.0619973545549,36.987456423588,Орловская область,Озимая пшеница,Пар,2019-08-27,2020-08-12,4343.215658202268,4343.215658202268,52.41426996466265,0.3765343793911805,16.02,61.52,6152.0,8881.4,7216.0,5929.509657238297,6438.630386223802,6195.957829101134,6733.0462632809085
60,77.65,53.1132593783202,36.9677141255902,Орловская область,Озимая пшеница,Пар,2019-08-24,2020-09-02,4343.215658202268,4343.215658202268,30.95910588439247,0.3579456400662856,77.65,68.94,6894.0,8882.5,97.0,5929.744025151795,6451.690758897739,4416.4828291011345,5309.686263280908
61,218.51,53.1189397460525,36.990703912781,Орловская область,Озимая пшеница,Пар,2019-08-24,2020-08-02,4343.215658202268,4343.215658202268,16.53135915702219,0.3379669357011305,218.51,63.53,6353.0,8334.5,97.0,5925.213859859708,6199.2430321321135,4279.4828291011345,5090.486263280907
62,370.8,53.0331321262697,36.8572628569789,Орловская область,Озимая пшеница,Пар,2019-08-25,2020-08-07,4343.215658202268,4343.215658202268,13.41308270797345,0.3322546711743912,370.8,56.5,5650.0,8856.7,1.0,5929.533781483034,6439.9747324785385,4386.032829101135,5280.1662632809075
63,40.7,53.0310296931716,36.8271771875907,Орловская область,Озимая пшеница,Пар,2019-08-26,2020-08-08,4343.215658202268,4343.215658202268,10.5092241702907,0.3228514663875257,40.7,56.1,5610.0,8884.0,1.0,5929.75946307514,6452.551051713395,4392.8578291011345,5291.086263280908
64,59.89,53.0422141768857,36.9854846360298,Орловская область,Озимая пшеница,Пар,2019-08-26,2020-08-09,4343.215658202268,4343.215658202268,7.891736297812777,0.3133065518481517,59.89,61.48,6148.0,8885.5,1.0,5929.7718631626185,6453.242058264761,4393.2328291011345,5291.686263280908
65,58.26,53.1472620474058,36.992440304138,Орловская область,Озимая пшеница,Пар,2019-08-24,2020-08-04,4343.215658202268,4343.215658202268,62.33832728806817,0.3472334582319191,58.26,58.14,5814.0,8598.5,97.0,5927.3962752558955,6320.860185172488,4345.4828291011345,5196.086263280908
66,17.91,53.1328306491978,36.9862504417403,Орловская область,Озимая пшеница,Пар,2019-08-24,2020-08-03,4343.215658202268,4343.215658202268,28.83410167201391,0.3276742847261018,17.91,68.75,6875.0,8442.4,97.0,5926.105839485649,6248.949436727024,4306.457829101134,5133.646263280907
